name,id,details_link,bus_interface,memory_size_(mb),base_clock_(mhz),original_tdp_w,performance_score,price,performance_per_dollar,tdp_w,estimated_release_year,original_price
GeForce RTX 3070 Ti,rk4413,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070+Ti&id=4413,PCIe 4.0 x16,0.1489361702127659,0.5585689555683785,290.0,0.5811874807363613,0.1580246913580247,33.594765639509134,290.0,2020.0,699.99
GeForce RTX 4060 Ti 16GB,rk4898,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Ti+16GB&id=4898,PCIe 4.0 x8,0.3191489361702128,0.9826889786497404,165.0,0.5619658718372608,0.0962962962962963,50.73446076579479,165.0,2022.0,449.99
GeForce RTX 4060 Ti,rk4827,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060+Ti&id=4827,PCIe 4.0 x8,0.1489361702127659,0.9826889786497404,160.0,0.5619098321611701,0.0837061728395061,57.21303258145363,160.0,2022.0,399.0
GeForce RTX 3070,rk4283,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3070&id=4283,PCIe 4.0 x16,0.1489361702127659,0.5152914021927293,220.0,0.5479279329765474,0.1466765432098765,34.140635750653644,220.0,2020.0,654.03
GeForce RTX 2080 Ti,rk3991,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+Ti&id=3991,PCIe 3.0 x16,0.2127659574468085,0.428736295441431,250.0,0.5303034548460309,0.3049407407407407,16.756756756756758,250.0,2018.0,1295.0
GeForce RTX 3060 Ti,rk4318,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+Ti&id=4318,PCIe 4.0 x16,0.1489361702127659,0.4633583381419504,200.0,0.4950825184230435,0.1047407407407407,42.221028934922245,200.0,2020.0,484.19
GeForce RTX 4060,rk4850,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+4060&id=4850,PCIe 4.0 x8,0.1489361702127659,0.7057126370455857,115.0,0.4773459609403457,0.0590148148148148,66.25418060200668,115.0,2022.0,299.0
GeForce RTX 2080 SUPER,rk4123,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123,PCIe 3.0 x16,0.1489361702127659,0.6018465089440277,250.0,0.4701728824007397,0.1542888888888889,28.55182081009257,250.0,2018.0,684.86
GeForce RTX 2080,rk3989,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080&id=3989,PCIe 3.0 x16,0.1469414893617021,0.5239469128678592,250.0,0.4480932500210148,0.1828691358024691,23.4396272841958,250.0,2018.0,800.61
GeForce RTX 2070 SUPER,rk4116,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+SUPER&id=4116,PCIe 3.0 x16,0.1489361702127659,0.5758799769186381,215.0,0.432766398610216,0.1185185185185185,33.73951369469805,215.0,2018.0,539.99
GeForce RTX 3060 12GB,rk4345,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+12GB&id=4345,PCIe 4.0 x16,0.2340425531914893,0.4114252740911713,170.0,0.3968169463980498,0.0555555555555555,59.42664654900172,170.0,2020.0,284.99
GeForce RTX 2060 SUPER,rk4117,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+SUPER&id=4117,PCIe 3.0 x16,0.1489361702127659,0.4616272360069243,175.0,0.3848244557146459,0.0864197530864197,40.264396692602254,175.0,2018.0,409.99
GeForce RTX 2070,rk4001,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070&id=4001,PCIe 3.0 x16,0.1489361702127659,0.4633583381419504,175.0,0.3742049370954636,0.0813506172839506,41.41375237508345,175.0,2018.0,389.46
GeForce RTX 2060 12GB,rk4602,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+12GB&id=4602,PCIe 3.0 x16,0.2340425531914893,0.4979803808424696,185.0,0.3679565132113536,0.1766403185292074,25.21618437044656,185.0,2018.0,775.38329004329
GeForce RTX 3060 8GB,rk4966,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3060+8GB&id=4966,PCIe 4.0 x16,0.1489361702127659,0.4114252740911713,170.0,0.3530219395331895,0.1766403185292074,25.21618437044656,170.0,2020.0,775.38329004329
GeForce RTX 2080 (Mobile),rk4084,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+%28Mobile%29&id=4084,PCIe 3.0 x16,0.1489361702127659,0.4460473167916906,150.0,0.3455686626131301,0.1766403185292074,25.21618437044656,150.0,2018.0,775.38329004329
GeForce RTX 2060,rk4037,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060&id=4037,PCIe 3.0 x16,0.1063829787234042,0.4373918061165608,160.0,0.3184454593852447,0.0652864197530864,43.58508014796548,160.0,2018.0,324.4
GeForce RTX 2080 Super with Max-Q Design,rk4202,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+Super+with+Max-Q+Design&id=4202,PCIe 3.0 x16,0.1489361702127659,0.0738603577611078,80.0,0.3076858415758357,0.1766403185292074,25.21618437044656,80.0,2018.0,775.38329004329
GeForce RTX 2070 Super with Max-Q Design,rk4204,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+Super+with+Max-Q+Design&id=4204,PCIe 3.0 x16,0.1489361702127659,0.1863819965377957,80.0,0.3049398974473927,0.1766403185292074,25.21618437044656,80.0,2018.0,775.38329004329
GeForce RTX 2080 with Max-Q Design,rk4041,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+with+Max-Q+Design&id=4041,PCIe 3.0 x16,0.1489361702127659,0.0738603577611078,90.0,0.2861666059570175,0.5037037037037037,6.18431516340554,90.0,2018.0,2099.99
GeForce GTX 1660 Ti,rk4045,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti&id=4045,PCIe 3.0 x16,0.1063829787234042,0.5152914021927293,120.0,0.2838409593992547,0.0611851851851852,41.92468891127067,120.0,2019.0,307.79
GeForce RTX 3050 8GB,rk4495,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+8GB&id=4495,PCIe 4.0 x8,0.1489361702127659,0.5452971725331794,130.0,0.2796099638544089,0.037037037037037,60.73146340301919,130.0,2020.0,209.99
GeForce GTX 1660 SUPER,rk4159,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+SUPER&id=4159,PCIe 3.0 x16,0.1063829787234042,0.532602423542989,125.0,0.2792176861217742,0.044316049382716,53.19664258571011,125.0,2019.0,239.47
GeForce RTX 2070 (Mobile),rk4083,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+%28Mobile%29&id=4083,PCIe 3.0 x16,0.1489361702127659,0.3508366993652625,115.0,0.2684300484743198,0.1766403185292074,25.21618437044656,115.0,2018.0,775.38329004329
GeForce GTX 1660,rk4062,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660&id=4062,PCIe 3.0 x16,0.1063829787234042,0.532602423542989,120.0,0.2490963602230378,0.0691135802469135,34.315975286849074,120.0,2019.0,339.9
GeForce RTX 2070 with Max-Q Design,rk4048,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+with+Max-Q+Design&id=4048,PCIe 3.0 x16,0.1489361702127659,0.1604154645124061,80.0,0.2474992294544537,0.1766403185292074,25.21618437044656,80.0,2018.0,775.38329004329
GeForce RTX 2060 (Mobile),rk4085,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+%28Mobile%29&id=4085,PCIe 3.0 x16,0.1063829787234042,0.2036930178880553,80.0,0.240438230267029,0.1766403185292074,25.21618437044656,80.0,2018.0,775.38329004329
GeForce RTX 3050 6GB,rk5069,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+6GB&id=5069,PCIe 4.0 x8,0.1063829787234042,0.2510098095787652,70.0,0.2214127602342458,0.0271604938271605,62.80369433496087,70.0,2020.0,169.99
GeForce GTX 1650 SUPER,rk4167,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+SUPER&id=4167,PCIe 3.0 x16,0.0638297872340425,0.532602423542989,100.0,0.2071226428311244,0.0400172839506172,45.78041970638566,100.0,2019.0,222.06
GeForce GTX 1660 Ti (Mobile),rk4091,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti+%28Mobile%29&id=4091,PCIe 3.0 x16,0.1063829787234042,0.4893248701673398,80.0,0.2071506626691697,0.1766403185292074,25.21618437044656,80.0,2019.0,775.38329004329
GeForce RTX 2060 with Max-Q Design,rk4199,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2060+with+Max-Q+Design&id=4199,PCIe 3.0 x16,0.1063829787234042,0.2123485285631852,65.0,0.1956345092325366,0.1766403185292074,25.21618437044656,65.0,2018.0,775.38329004329
GeForce GTX 1660 Ti with Max-Q Design,rk4082,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1660+Ti+with+Max-Q+Design&id=4082,PCIe 3.0 x16,0.1063829787234042,0.3075591459896133,60.0,0.1629913979097201,0.1766403185292074,25.21618437044656,60.0,2019.0,775.38329004329
GeForce GTX 1650,rk4078,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650&id=4078,PCIe 3.0 x16,0.0638297872340425,0.5066358915175995,75.0,0.1429572137073047,0.0306172839506172,42.806674275775855,75.0,2019.0,183.99
GeForce RTX 2050,rk4501,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2050&id=4501,PCIe 3.0 x8,0.0638297872340425,0.3335256780150029,45.0,0.1386981983244136,0.1766403185292074,25.21618437044656,45.0,2018.0,775.38329004329
GeForce GTX 1650 Ti,rk4195,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+Ti&id=4195,PCIe 3.0 x16,0.0638297872340425,0.428736295441431,55.0,0.1334304687718905,0.1766403185292074,25.21618437044656,55.0,2019.0,775.38329004329
GeForce GTX 1650 (Mobile),rk4090,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+%28Mobile%29&id=4090,PCIe 3.0 x16,0.0638297872340425,0.4547028274668205,50.0,0.1175432206001849,0.1766403185292074,25.21618437044656,50.0,2019.0,775.38329004329
GeForce GTX 1650 Ti with Max-Q Design,rk4209,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+Ti+with+Max-Q+Design&id=4209,PCIe 3.0 x16,0.0638297872340425,0.2469705712637045,35.0,0.1028888453024741,0.1766403185292074,25.21618437044656,35.0,2019.0,775.38329004329
GeForce GTX 1650 with Max-Q Design,rk4104,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+with+Max-Q+Design&id=4104,PCIe 3.0 x16,0.0638297872340425,0.2383150605885746,35.0,0.0957437866009134,0.1766403185292074,25.21618437044656,35.0,2019.0,775.38329004329
